Date;Open;High;Low;Close;Adj Close;Volume
27/06/2022;12.157.929.688;12.175.980.469;11.965.669.922;12.008.240.234;12.008.240.234;5047860000
28/06/2022;12.021.339.844;12.133.870.117;11.633.129.883;11.637.769.531;11.637.769.531;5433220000
29/06/2022;11.619.009.766;11.710.209.961;11.537.719.727;11.658.259.766;11.658.259.766;5650860000
30/06/2022;11.532.320.313;11.650.959.961;11.322.860.352;11.503.719.727;11.503.719.727;5654520000
01/07/2022;11.472.629.883;11.592.849.609;11.378.629.883;11.585.679.688;11.585.679.688;4865730000
05/07/2022;11.419.339.844;11.781.740.234;11.366.070.313;11.779.900.391;11.779.900.391;5053570000
06/07/2022;11.807.080.078;11.941.309.570;11.727.360.352;11.852.589.844;11.852.589.844;4851170000
07/07/2022;11.913.730.469;12.137.709.961;11.897.509.766;12.109.049.805;12.109.049.805;4685050000
08/07/2022;11.977.950.195;12.179.320.313;11.956.030.273;12.125.690.430;12.125.690.430;4526570000
11/07/2022;12.008.759.766;12.026.059.570;11.830.889.648;11.860.280.273;11.860.280.273;4362910000
12/07/2022;11.926.839.844;11.990.440.430;11.684.019.531;11.744.990.234;11.744.990.234;4317860000
13/07/2022;11.523.910.156;11.819.690.430;11.498.959.961;11.728.530.273;11.728.530.273;4433060000
14/07/2022;11.637.179.688;11.801.110.352;11.488.269.531;11.768.400.391;11.768.400.391;4481070000
15/07/2022;11.896.150.391;11.987.519.531;11.828.129.883;11.983.620.117;11.983.620.117;4369060000
18/07/2022;12.089.679.688;12.156.089.844;11.836.519.531;11.877.500.000;11.877.500.000;5057920000
19/07/2022;12.046.690.430;12.258.370.117;11.967.919.922;12.249.419.922;12.249.419.922;5302740000
20/07/2022;12.269.070.313;12.488.389.648;12.232.200.195;12.439.679.688;12.439.679.688;5467080000
21/07/2022;12.466.129.883;12.620.500.000;12.351.419.922;12.619.410.156;12.619.410.156;4680930000
22/07/2022;12.575.759.766;12.662.860.352;12.322.820.313;12.396.469.727;12.396.469.727;4721880000
25/07/2022;12.391.209.961;12.415.589.844;12.244.400.391;12.328.410.156;12.328.410.156;4346520000
26/07/2022;12.248.209.961;12.259.009.766;12.051.209.961;12.086.900.391;12.086.900.391;4349760000
27/07/2022;12.299.339.844;12.660.769.531;12.256.940.430;12.601.469.727;12.601.469.727;4588480000
28/07/2022;12.580.610.352;12.741.830.078;12.433.549.805;12.717.870.117;12.717.870.117;4924950000
29/07/2022;12.784.200.195;12.986.639.648;12.726.250.000;12.947.969.727;12.947.969.727;4907410000
01/08/2022;12.877.040.039;13.084.610.352;12.833.160.156;12.940.780.273;12.940.780.273;4396390000
02/08/2022;12.853.040.039;13.073.269.531;12.809.009.766;12.901.599.609;12.901.599.609;4792140000
03/08/2022;12.983.580.078;13.289.190.430;12.974.849.609;13.253.259.766;13.253.259.766;5667990000
04/08/2022;13.253.769.531;13.326.719.727;13.170.440.430;13.311.040.039;13.311.040.039;5451470000
05/08/2022;13.107.450.195;13.286.019.531;13.070.360.352;13.207.690.430;13.207.690.430;4911300000
08/08/2022;13.227.089.844;13.394.540.039;13.103.799.805;13.159.160.156;13.159.160.156;5238600000
09/08/2022;13.064.240.234;13.095.700.195;12.945.599.609;13.008.169.922;13.008.169.922;5307340000
10/08/2022;13.330.660.156;13.386.849.609;13.220.049.805;13.378.320.313;13.378.320.313;5196210000
11/08/2022;13.471.030.273;13.555.379.883;13.271.349.609;13.291.990.234;13.291.990.234;5815960000
12/08/2022;13.384.650.391;13.565.870.117;13.341.650.391;13.565.870.117;13.565.870.117;4782610000
15/08/2022;13.529.660.156;13.685.650.391;13.524.530.273;13.667.179.688;13.667.179.688;4476040000
16/08/2022;13.617.660.156;13.720.910.156;13.508.469.727;13.635.209.961;13.635.209.961;5028410000
17/08/2022;13.499.240.234;13.591.580.078;13.389.820.313;13.470.860.352;13.470.860.352;5229520000
18/08/2022;13.474.240.234;13.553.280.273;13.405.740.234;13.505.990.234;13.505.990.234;4724350000
19/08/2022;13.370.250.000;13.402.610.352;13.210.820.313;13.242.900.391;13.242.900.391;4628170000
22/08/2022;13.056.389.648;13.073.070.313;12.859.820.313;12.890.540.039;12.890.540.039;4270980000
23/08/2022;12.885.280.273;13.000.709.961;12.852.700.195;12.881.790.039;12.881.790.039;3836180000
24/08/2022;12.876.230.469;12.995.139.648;12.843.580.078;12.917.860.352;12.917.860.352;3917170000
25/08/2022;12.984.740.234;13.146.839.844;12.951.610.352;13.143.580.078;13.143.580.078;4323470000
26/08/2022;13.129.910.156;13.175.250.000;12.603.410.156;12.605.169.922;12.605.169.922;4530000000
29/08/2022;12.488.459.961;12.594.339.844;12.440.400.391;12.484.320.313;12.484.320.313;4209850000
30/08/2022;12.562.400.391;12.572.879.883;12.240.820.313;12.342.700.195;12.342.700.195;4681520000
31/08/2022;12.448.070.313;12.502.150.391;12.268.080.078;12.272.030.273;12.272.030.273;4952010000
01/09/2022;12.158.879.883;12.290.330.078;12.012.980.469;12.274.620.117;12.274.620.117;4792890000
02/09/2022;12.392.459.961;12.451.280.273;12.035.530.273;12.098.440.430;12.098.440.430;4257410000
06/09/2022;12.106.570.313;12.152.419.922;11.928.809.570;12.011.309.570;12.011.309.570;4622940000
07/09/2022;12.038.179.688;12.298.120.117;12.026.980.469;12.259.389.648;12.259.389.648;4445640000
08/09/2022;12.139.570.313;12.374.129.883;12.120.259.766;12.321.190.430;12.321.190.430;4329910000
09/09/2022;12.424.150.391;12.610.429.688;12.424.150.391;12.588.290.039;12.588.290.039;4401590000
12/09/2022;12.649.230.469;12.752.830.078;12.639.759.766;12.739.719.727;12.739.719.727;4146680000
13/09/2022;12.364.830.078;12.420.009.766;12.004.419.922;12.033.620.117;12.033.620.117;5188380000
14/09/2022;12.092.030.273;12.170.250.000;12.016.429.688;12.134.400.391;12.134.400.391;4861530000
15/09/2022;12.034.429.688;12.153.339.844;11.867.879.883;11.927.490.234;11.927.490.234;4805910000
16/09/2022;11.775.940.430;11.875.089.844;11.710.259.766;11.861.379.883;11.861.379.883;7451840000
19/09/2022;11.753.599.609;11.956.790.039;11.752.429.688;11.953.269.531;11.953.269.531;4168670000
20/09/2022;11.855.839.844;11.951.129.883;11.761.690.430;11.851.540.039;11.851.540.039;4028100000
21/09/2022;11.892.719.727;12.062.519.531;11.636.250.000;11.637.790.039;11.637.790.039;4471000000
22/09/2022;11.574.320.313;11.617.990.234;11.448.860.352;11.501.650.391;11.501.650.391;4916470000
23/09/2022;11.398.750.000;11.402.410.156;11.169.660.156;11.311.240.234;11.311.240.234;5134350000
26/09/2022;11.283.139.648;11.473.360.352;11.235.740.234;11.254.110.352;11.254.110.352;4697730000
27/09/2022;11.411.339.844;11.502.379.883;11.175.290.039;11.271.750.000;11.271.750.000;4445050000
28/09/2022;11.258.740.234;11.546.870.117;11.210.809.570;11.493.830.078;11.493.830.078;4556100000
29/09/2022;11.334.570.313;11.339.910.156;11.038.940.430;11.164.780.273;11.164.780.273;4516630000
30/09/2022;11.123.110.352;11.296.160.156;10.966.950.195;10.971.219.727;10.971.219.727;4649710000
03/10/2022;11.059.169.922;11.296.429.688;10.985.009.766;11.229.730.469;11.229.730.469;4415440000
04/10/2022;11.477.849.609;11.609.250.000;11.462.370.117;11.582.540.039;11.582.540.039;5004780000
05/10/2022;11.429.469.727;11.647.620.117;11.312.519.531;11.573.179.688;11.573.179.688;4091860000
06/10/2022;11.556.400.391;11.660.549.805;11.472.830.078;11.485.500.000;11.485.500.000;4423320000
07/10/2022;11.272.459.961;11.293.650.391;10.991.660.156;11.039.469.727;11.039.469.727;4634190000
10/10/2022;11.048.509.766;11.063.209.961;10.824.250.000;10.926.969.727;10.926.969.727;3989640000
11/10/2022;10.865.320.313;10.981.910.156;10.716.330.078;10.791.349.609;10.791.349.609;4738840000
12/10/2022;10.810.299.805;10.886.490.234;10.754.849.609;10.785.620.117;10.785.620.117;4091030000
13/10/2022;10.481.580.078;11.087.660.156;10.440.639.648;11.033.580.078;11.033.580.078;5300080000
14/10/2022;11.130.080.078;11.152.889.648;10.677.480.469;10.692.059.570;10.692.059.570;4393000000
17/10/2022;10.967.250.000;11.090.870.117;10.959.740.234;11.062.530.273;11.062.530.273;4439190000
18/10/2022;11.368.759.766;11.374.379.883;11.035.799.805;11.147.740.234;11.147.740.234;5047360000
19/10/2022;11.081.820.313;11.231.459.961;11.008.110.352;11.103.379.883;11.103.379.883;4955090000
20/10/2022;11.081.219.727;11.279.809.570;11.001.280.273;11.046.709.961;11.046.709.961;4628010000
21/10/2022;10.998.169.922;11.327.769.531;10.962.009.766;11.310.330.078;11.310.330.078;4706440000
24/10/2022;11.321.110.352;11.468.179.688;11.166.490.234;11.430.259.766;11.430.259.766;4808710000
25/10/2022;11.482.870.117;11.681.849.609;11.480.410.156;11.669.990.234;11.669.990.234;5141760000
26/10/2022;11.409.790.039;11.657.059.570;11.388.339.844;11.405.900.391;11.405.900.391;5224440000
27/10/2022;11.387.709.961;11.417.040.039;11.179.900.391;11.191.629.883;11.191.629.883;4773520000
